,normal_percentiles,playtime_percentiles
0.303,0.6057976869984438,0.6813510507709702
0.304,0.6060287129687574,0.6813510507709702
0.305,0.6062898911480241,0.6813510507709702
0.306,0.6064289461863939,0.6813510507709702
0.307,0.6066509311139658,0.6813510507709702
0.308,0.6068609646769565,0.6813510507709702
0.309,0.6070453652938569,0.6813510507709702
0.31,0.6072355171450551,0.6813510507709702
0.311,0.6074421388513197,0.6813510507709702
0.312,0.6076636986131648,0.6813510507709702
0.313,0.6078712347563712,0.6813510507709702
0.314,0.608084650524551,0.6813510507709702
0.315,0.6082672489866551,0.6813510507709702
0.316,0.6084901700694882,0.6813510507709702
0.317,0.6087011708761079,0.6813510507709702
0.318,0.6088835619320768,0.6813510507709702
0.319,0.6090946987323682,0.6813510507709702
0.32,0.6092696442342971,0.6813510507709702
0.321,0.6094687615866835,0.6813510507709702
0.322,0.6096769562773046,0.6813510507709702
0.323,0.609886162895563,0.6813510507709702
0.324,0.6100782044754801,0.6813510507709702
0.325,0.6102558177088844,0.6813510507709702
0.326,0.6104473536611053,0.6813510507709702
0.327,0.6106585851407536,0.6813510507709702
0.328,0.6108615954861032,0.6813510507709702
0.329,0.611026333158179,0.6813510507709702
0.33,0.611214749499737,0.6813510507709702
0.331,0.6114018297149137,0.6813510507709702
0.332,0.6115975833462101,0.6813510507709702
0.333,0.6117728226415319,0.6813510507709702
0.334,0.6119007252257448,0.6813510507709702
0.335,0.612080398481859,0.6813510507709702
0.336,0.6122425592292978,0.6813510507709702
0.337,0.6124382599023258,0.6813510507709702
0.338,0.6126481439748739,0.6813510507709702
0.339,0.612816738736284,0.6813510507709702
0.34,0.612964778153728,0.6813510507709702
0.341,0.6131425227684791,0.6813510507709702
0.342,0.6133322238525745,0.6813510507709702
0.343,0.6135483724961037,0.6813510507709702
0.344,0.6137669774537392,0.6813510507709702
0.345,0.6139762673708201,0.6813510507709702
0.346,0.6141517751099743,0.6813510507709702
0.347,0.6143469322253613,0.6813510507709702
0.348,0.6145801276973114,0.6813510507709702
0.349,0.6147510478202932,0.6813510507709702
0.35,0.6149343994287707,0.6813510507709702
0.351,0.6151194408425661,0.6813510507709702
0.352,0.6152992616993086,0.6813510507709702
0.353,0.6154403952024303,0.6813510507709702
0.354,0.6156218278514402,0.6813510507709702
0.355,0.6158211564005112,0.6813510507709702
0.356,0.6160136484476364,0.6813510507709702
0.357,0.6161752361988115,0.6813510507709702
0.358,0.6163934327847884,0.6813510507709702
0.359,0.6165780655236868,0.6813510507709702
0.36,0.6167676390968161,0.6813510507709702
0.361,0.6169245547746371,0.6813510507709702
0.362,0.6171163639669833,0.6813510507709702
0.363,0.6173290967969305,0.6813510507709702
0.364,0.6175510289063108,0.6813510507709702
0.365,0.6177113187714396,0.6813510507709702
0.366,0.6179255302039064,0.6813510507709702
0.367,0.6181126685257268,0.6813510507709702
0.368,0.6182957878635255,0.6813510507709702
0.369,0.6185124023472368,0.6813510507709702
0.37,0.6186757404274947,0.6813510507709702
0.371,0.6188628354736954,0.6813510507709702
0.372,0.6189929007881634,0.6813510507709702
0.373,0.6191849844237987,0.6813510507709702
0.374,0.6193587536886642,0.6813510507709702
0.375,0.6194323683484961,0.6813510507709702
0.376,0.6196152144684514,0.6813510507709702
0.377,0.6198385353973084,0.6813510507709702
0.378,0.6200005797754827,0.6813510507709702
0.379,0.6202012356349629,0.6813510507709702
0.38,0.6203674187570698,0.6813510507709702
0.381,0.6205385273537191,0.6813510507709702
0.382,0.6207066028326538,0.6813510507709702
0.383,0.6209016259019274,0.6813510507709702
0.384,0.6211020650648865,0.6813510507709702
0.385,0.6212970018898616,0.6813510507709702
0.386,0.6214528368254262,0.6813510507709702
0.387,0.6216387954773674,0.6813510507709702
0.388,0.6218692473891863,0.6813510507709702
0.389,0.6220620268100724,0.6813510507709702
0.39,0.622252483182305,0.6813510507709702
0.391,0.6224887317192075,0.6813510507709702
0.392,0.6226747033601019,0.6813510507709702
0.393,0.6228404590733291,0.6813510507709702
0.394,0.6230262106101909,0.6813510507709702
0.395,0.6231540629293625,0.6813510507709702
0.396,0.6233658923950606,0.6813510507709702
0.397,0.6235444078837096,0.6813510507709702
0.398,0.6237238269330683,0.6813510507709702
0.399,0.6239216155967852,0.6813510507709702
0.4,0.6240763747603494,0.6813510507709702
0.401,0.6242407654048102,0.6813510507709702
0.402,0.6244028076492869,0.6813510507709702
0.403,0.6245808768086993,0.6813510507709702
0.404,0.6247619519461649,0.6813510507709702
0.405,0.6249421579979398,0.6813510507709702
0.406,0.6250958010667019,0.6813510507709702
0.407,0.6253031422752747,0.6813510507709702
0.408,0.6254749192629023,0.6813510507709702
0.409,0.6256166644314288,0.6813510507709702
0.41,0.6258083677041376,0.6813510507709702
0.411,0.6259863544285992,0.6813510507709702
0.412,0.6261873967290974,0.6813510507709702
0.413,0.6263813180376736,0.6813510507709702
0.414,0.6265668004516268,0.6813510507709702
0.415,0.6266616327741968,0.6813510507709702
0.416,0.6267559813455169,0.6813510507709702
0.417,0.6269140273089674,0.6813510507709702
0.418,0.6270987746586096,0.6813510507709702
0.419,0.6272666074084798,0.6813510507709702
0.42,0.6274678751416327,0.6813510507709702
0.421,0.6276724729722405,0.6813510507709702
0.422,0.6278776901819897,0.6813510507709702
0.423,0.6280567953369773,0.6813510507709702
0.424,0.6282406860222146,0.6813510507709702
0.425,0.6284224112025786,0.6813510507709702
0.426,0.6286129082825771,0.6813510507709702
0.427,0.6288342660030948,0.6813510507709702
0.428,0.6290236475178899,0.6813510507709702
0.429,0.6292036079148939,0.6813510507709702
0.43,0.6294065610397833,0.6813510507709702
0.431,0.6295735962782077,0.6813510507709702
0.432,0.6297177472492388,0.6813510507709702
0.433,0.6298931275871148,0.6813510507709702
0.434,0.6300637345432848,0.6813510507709702
0.435,0.6302381675267106,0.6813510507709702
0.436,0.6304232285269354,0.6813510507709702
0.437,0.6305925252611015,0.6813510507709702
0.438,0.6307708658664161,0.6813510507709702
0.439,0.6309097128291011,0.6813510507709702
0.44,0.6310796625111724,0.6813510507709702
0.441,0.6312400570477686,0.6813510507709702
0.442,0.6313235709143125,0.6813510507709702
